Total number of categories,Transaction Time,Current Time MS
319,1,1617567136398
320,1,1617567136401
321,3,1617567136406
322,2,1617567136409
323,1,1617567136413
324,1,1617567136415
325,1,1617567136416
326,1,1617567136418
327,1,1617567136420
328,1,1617567136422
329,1,1617567136424
330,1,1617567136426
331,1,1617567136427
332,0,1617567136428
333,1,1617567136430
334,1,1617567136432
335,1,1617567136433
336,1,1617567136435
337,0,1617567136436
338,1,1617567136438
339,1,1617567136440
340,1,1617567136442
341,1,1617567136444
342,1,1617567136446
343,1,1617567136447
344,1,1617567136449
345,1,1617567136451
346,1,1617567136452
347,0,1617567136453
348,1,1617567136455
349,1,1617567136456
350,1,1617567136458
351,0,1617567136459
352,2,1617567136462
353,1,1617567136463
354,0,1617567136464
355,1,1617567136466
356,1,1617567136467
357,0,1617567136468
358,1,1617567136470
359,1,1617567136471
360,0,1617567136472
361,0,1617567136473
362,1,1617567136475
363,1,1617567136476
364,0,1617567136477
365,1,1617567136479
366,1,1617567136480
367,1,1617567136481
368,0,1617567136482
369,1,1617567136484
370,1,1617567136486
371,1,1617567136487
372,1,1617567136489
373,1,1617567136490
374,1,1617567136492
375,1,1617567136493
376,1,1617567136494
377,0,1617567136495
378,1,1617567136497
379,1,1617567136498
380,0,1617567136499
381,1,1617567136501
382,1,1617567136502
383,1,1617567136504
384,1,1617567136506
385,1,1617567136507
386,0,1617567136508
387,1,1617567136510
388,1,1617567136512
389,1,1617567136513
390,0,1617567136514
391,1,1617567136516
392,1,1617567136517
393,1,1617567136519
394,1,1617567136520
395,0,1617567136521
396,0,1617567136522
397,1,1617567136524
398,1,1617567136525
399,1,1617567136526
400,1,1617567136527
401,1,1617567136528
402,1,1617567136529
403,1,1617567136530
404,0,1617567136531
405,0,1617567136532
406,0,1617567136533
407,0,1617567136534
408,0,1617567136535
409,0,1617567136536
410,0,1617567136537
411,0,1617567136538
412,0,1617567136539
413,0,1617567136540
414,1,1617567136542
415,1,1617567136543
416,1,1617567136544
417,1,1617567136545
418,1,1617567136546
419,0,1617567136547
420,0,1617567136548
421,0,1617567136549
422,1,1617567136551
423,1,1617567136552
424,1,1617567136553
425,1,1617567136554
426,1,1617567136555
427,1,1617567136556
428,0,1617567136557
429,0,1617567136558
430,0,1617567136559
431,1,1617567136561
432,1,1617567136562
433,1,1617567136563
434,1,1617567136564
435,1,1617567136565
436,1,1617567136566
437,0,1617567136567
438,0,1617567136568
439,0,1617567136569
440,0,1617567136570
441,0,1617567136571
442,0,1617567136572
443,0,1617567136573
444,0,1617567136574
445,0,1617567136575
446,1,1617567136577
447,1,1617567136578
448,1,1617567136579
449,0,1617567136580
450,1,1617567136582
451,1,1617567136583
452,1,1617567136584
453,0,1617567136585
454,0,1617567136586
455,0,1617567136587
456,1,1617567136589
457,1,1617567136590
458,1,1617567136591
459,1,1617567136592
460,0,1617567136593
461,0,1617567136594
462,0,1617567136595
463,0,1617567136596
464,0,1617567136597
465,1,1617567136599
466,1,1617567136600
467,1,1617567136601
468,1,1617567136602
469,1,1617567136603
470,1,1617567136604
471,1,1617567136605
472,0,1617567136606
473,0,1617567136607
474,1,1617567136609
475,1,1617567136610
476,1,1617567136611
477,1,1617567136612
478,1,1617567136613
479,1,1617567136614
480,1,1617567136615
481,1,1617567136616
482,1,1617567136617
483,0,1617567136618
484,1,1617567136620
485,1,1617567136621
486,1,1617567136622
487,1,1617567136624
488,1,1617567136625
489,0,1617567136626
490,0,1617567136627
491,1,1617567136629
492,1,1617567136630
493,1,1617567136631
494,1,1617567136632
495,1,1617567136633
496,1,1617567136634
497,1,1617567136635
498,1,1617567136636
499,0,1617567136637
500,0,1617567136638
501,0,1617567136639
502,0,1617567136640
503,0,1617567136641
504,0,1617567136642
505,1,1617567136644
506,1,1617567136645
507,1,1617567136646
508,1,1617567136647
509,1,1617567136648
510,1,1617567136649
511,1,1617567136650
512,1,1617567136651
513,0,1617567136652
514,0,1617567136653
515,0,1617567136654
516,1,1617567136656
517,1,1617567136657
518,1,1617567136658
519,1,1617567136660
520,1,1617567136662
521,2,1617567136664
522,1,1617567136666
523,0,1617567136667
524,1,1617567136669
525,1,1617567136670
526,1,1617567136672
527,1,1617567136674
528,0,1617567136675
529,1,1617567136677
530,1,1617567136678
531,1,1617567136680
532,1,1617567136682
533,1,1617567136685
534,1,1617567136686
535,1,1617567136688
536,1,1617567136689
537,1,1617567136691
538,1,1617567136692
539,1,1617567136694
540,1,1617567136695
541,1,1617567136697
542,1,1617567136698
543,0,1617567136699
544,1,1617567136701
545,1,1617567136702
546,1,1617567136704
547,1,1617567136705
548,0,1617567136706
549,1,1617567136708
550,1,1617567136709
551,0,1617567136710
552,1,1617567136712
553,1,1617567136714
554,1,1617567136715
555,1,1617567136717
556,1,1617567136719
557,0,1617567136720
558,1,1617567136722
559,0,1617567136723
560,1,1617567136725
561,0,1617567136726
562,0,1617567136727
563,1,1617567136729
564,1,1617567136730
565,0,1617567136731
566,1,1617567136733
567,1,1617567136735
568,0,1617567136736
569,1,1617567136738
570,0,1617567136739
571,1,1617567136741
572,1,1617567136742
573,1,1617567136743
574,1,1617567136744
575,1,1617567136745
576,0,1617567136746
577,0,1617567136747
578,1,1617567136749
579,0,1617567136750
580,1,1617567136752
581,1,1617567136753
582,1,1617567136755
583,1,1617567136756
584,0,1617567136757
585,0,1617567136758
586,1,1617567136760
587,1,1617567136761
588,0,1617567136762
589,1,1617567136764
590,1,1617567136765
591,1,1617567136766
592,0,1617567136767
593,1,1617567136769
594,0,1617567136770
595,1,1617567136772
596,0,1617567136773
597,1,1617567136775
598,1,1617567136776
599,0,1617567136777
600,0,1617567136778
601,1,1617567136780
602,1,1617567136781
603,0,1617567136782
604,1,1617567136784
605,0,1617567136785
606,1,1617567136787
607,1,1617567136788
608,1,1617567136789
609,1,1617567136790
610,0,1617567136791
611,1,1617567136798
612,1,1617567136800
613,1,1617567136802
614,1,1617567136804
615,1,1617567136805
616,0,1617567136806
617,1,1617567136808
618,0,1617567136809
619,1,1617567136811
620,1,1617567136812
621,1,1617567136813
622,0,1617567136814
623,0,1617567136815
624,1,1617567136817
625,1,1617567136818
626,1,1617567136819
627,1,1617567136820
628,1,1617567136821
629,1,1617567136823
630,1,1617567136824
631,1,1617567136825
632,1,1617567136826
633,0,1617567136827
634,0,1617567136828
635,1,1617567136830
636,1,1617567136831
637,1,1617567136832
638,0,1617567136833
639,0,1617567136834
640,1,1617567136836
641,1,1617567136837
642,1,1617567136838
643,0,1617567136839
644,1,1617567136841
645,1,1617567136842
646,1,1617567136844
647,1,1617567136845
648,1,1617567136847
649,1,1617567136848
650,1,1617567136849
651,1,1617567136850
652,0,1617567136851
653,0,1617567136852
654,1,1617567136854
655,1,1617567136855
656,1,1617567136856
657,1,1617567136858
658,1,1617567136859
659,1,1617567136860
660,0,1617567136861
661,1,1617567136863
662,1,1617567136864
663,1,1617567136865
664,1,1617567136866
665,0,1617567136867
666,0,1617567136868
667,1,1617567136870
668,1,1617567136871
669,1,1617567136872
670,1,1617567136873
671,1,1617567136874
672,0,1617567136875
673,0,1617567136876
674,0,1617567136877
675,0,1617567136878
676,0,1617567136879
677,0,1617567136880
678,1,1617567136882
679,1,1617567136883
680,1,1617567136884
681,0,1617567136885
682,1,1617567136887
683,1,1617567136888
684,1,1617567136890
685,1,1617567136891
686,0,1617567136892
687,1,1617567136894
688,1,1617567136895
689,1,1617567136897
690,1,1617567136898
691,0,1617567136899
692,1,1617567136901
693,1,1617567136902
694,0,1617567136903
695,1,1617567136905
696,1,1617567136906
697,1,1617567136907
698,0,1617567136908
699,1,1617567136910
700,1,1617567136911
701,1,1617567136912
702,0,1617567136913
703,1,1617567136915
704,1,1617567136916
705,0,1617567136917
706,1,1617567136919
707,1,1617567136920
708,1,1617567136921
709,1,1617567136922
710,0,1617567136923
711,1,1617567136925
712,1,1617567136926
713,0,1617567136927
714,0,1617567136928
715,1,1617567136930
716,1,1617567136931
717,0,1617567136932
718,1,1617567136934
719,1,1617567136935
720,1,1617567136936
721,0,1617567136937
722,1,1617567136939
723,1,1617567136940
724,1,1617567136941
725,1,1617567136942
726,1,1617567136943
727,0,1617567136944
728,0,1617567136945
729,1,1617567136947
730,1,1617567136948
731,1,1617567136949
732,0,1617567136950
733,1,1617567136952
734,1,1617567136953
735,0,1617567136954
736,1,1617567136956
737,1,1617567136957
738,0,1617567136958
739,1,1617567136960
740,1,1617567136961
741,1,1617567136962
742,1,1617567136963
743,1,1617567136964
744,0,1617567136965
745,0,1617567136966
746,1,1617567136968
747,1,1617567136969
748,1,1617567136970
749,1,1617567136971
750,1,1617567136972
751,1,1617567136974
752,1,1617567136975
753,0,1617567136976
754,1,1617567136978
755,1,1617567136979
756,1,1617567136980
757,1,1617567136981
758,1,1617567136982
759,0,1617567136983
760,1,1617567136985
761,1,1617567136986
762,0,1617567136987
763,0,1617567136988
764,2,1617567136991
765,1,1617567136992
766,6,1617567136999
767,1,1617567137002
768,1,1617567137004
769,1,1617567137006
770,0,1617567137007
771,1,1617567137009
772,1,1617567137010
773,0,1617567137011
774,1,1617567137013
775,1,1617567137014
776,1,1617567137015
777,0,1617567137016
778,1,1617567137018
779,1,1617567137019
780,0,1617567137020
781,1,1617567137022
782,1,1617567137023
783,1,1617567137024
784,0,1617567137025
785,0,1617567137026
786,1,1617567137028
787,1,1617567137029
788,1,1617567137030
789,0,1617567137031
790,1,1617567137033
791,1,1617567137034
792,1,1617567137035
793,2,1617567137038
794,1,1617567137040
795,1,1617567137041
796,0,1617567137042
797,1,1617567137044
798,1,1617567137045
799,1,1617567137046
800,1,1617567137048
801,1,1617567137049
802,0,1617567137050
803,1,1617567137052
804,1,1617567137053
805,0,1617567137054
806,0,1617567137055
807,1,1617567137057
808,1,1617567137058
809,1,1617567137059
810,0,1617567137060
811,1,1617567137062
812,1,1617567137063
813,1,1617567137064
814,0,1617567137065
815,0,1617567137066
816,1,1617567137068
817,1,1617567137069
818,1,1617567137070
819,1,1617567137072
820,1,1617567137073
821,1,1617567137074
822,0,1617567137075
823,1,1617567137077
824,1,1617567137078
825,0,1617567137079
826,1,1617567137081
827,1,1617567137082
828,1,1617567137083
829,0,1617567137084
830,0,1617567137085
831,1,1617567137087
832,1,1617567137088
833,1,1617567137090
834,1,1617567137091
835,1,1617567137092
836,1,1617567137094
837,1,1617567137095
838,0,1617567137096
839,1,1617567137100
840,1,1617567137101
841,0,1617567137102
842,1,1617567137104
843,1,1617567137105
844,0,1617567137106
845,1,1617567137108
846,1,1617567137109
847,1,1617567137110
848,0,1617567137111
849,1,1617567137113
850,0,1617567137114
851,1,1617567137116
852,1,1617567137117
853,1,1617567137118
854,0,1617567137119
855,1,1617567137121
856,1,1617567137122
857,1,1617567137123
858,1,1617567137124
859,0,1617567137125
860,1,1617567137127
861,1,1617567137128
862,0,1617567137129
863,1,1617567137131
864,1,1617567137132
865,1,1617567137133
866,0,1617567137134
867,1,1617567137136
868,1,1617567137137
869,1,1617567137138
870,0,1617567137139
871,1,1617567137141
872,1,1617567137142
873,1,1617567137143
874,0,1617567137144
875,0,1617567137145
876,1,1617567137147
877,1,1617567137148
878,0,1617567137149
879,0,1617567137150
880,1,1617567137152
881,1,1617567137153
882,0,1617567137154
883,1,1617567137156
884,1,1617567137157
885,1,1617567137158
886,0,1617567137159
887,1,1617567137161
888,1,1617567137162
889,1,1617567137163
890,0,1617567137164
891,1,1617567137166
892,1,1617567137167
893,1,1617567137168
894,0,1617567137169
895,1,1617567137171
896,1,1617567137172
897,0,1617567137173
898,0,1617567137174
899,1,1617567137176
900,1,1617567137177
901,1,1617567137179
902,1,1617567137180
903,0,1617567137181
904,1,1617567137183
905,1,1617567137184
906,1,1617567137185
907,0,1617567137186
908,1,1617567137188
909,1,1617567137189
910,0,1617567137190
911,1,1617567137192
912,1,1617567137193
913,1,1617567137194
914,1,1617567137196
915,1,1617567137197
916,1,1617567137198
917,0,1617567137199
918,1,1617567137201
919,1,1617567137202
920,0,1617567137203
921,1,1617567137205
922,1,1617567137206
923,1,1617567137207
924,1,1617567137209
925,1,1617567137210
926,1,1617567137211
927,0,1617567137212
928,1,1617567137214
929,1,1617567137215
930,0,1617567137216
931,1,1617567137218
932,1,1617567137219
933,0,1617567137220
934,0,1617567137221
935,1,1617567137223
936,1,1617567137224
937,0,1617567137225
938,1,1617567137227
939,1,1617567137228
940,0,1617567137229
941,1,1617567137231
942,1,1617567137232
943,0,1617567137233
944,1,1617567137235
945,1,1617567137236
946,0,1617567137237
947,1,1617567137239
948,1,1617567137240
949,1,1617567137242
950,1,1617567137243
951,0,1617567137244
952,1,1617567137246
953,0,1617567137247
954,1,1617567137249
955,1,1617567137250
956,1,1617567137252
957,1,1617567137253
958,1,1617567137255
959,1,1617567137256
960,0,1617567137257
961,1,1617567137259
962,1,1617567137260
963,0,1617567137261
964,1,1617567137263
965,1,1617567137264
966,0,1617567137265
967,1,1617567137267
968,1,1617567137268
969,0,1617567137269
970,1,1617567137271
971,1,1617567137272
972,0,1617567137273
973,1,1617567137275
974,1,1617567137276
975,0,1617567137277
976,1,1617567137279
977,0,1617567137280
978,1,1617567137282
979,0,1617567137283
980,1,1617567137285
981,1,1617567137286
982,1,1617567137288
983,1,1617567137289
984,0,1617567137290
985,1,1617567137292
986,1,1617567137293
987,1,1617567137295
988,1,1617567137296
989,1,1617567137298
990,1,1617567137299
991,1,1617567137301
992,1,1617567137302
993,1,1617567137303
994,1,1617567137305
995,1,1617567137306
996,0,1617567137307
997,1,1617567137309
998,1,1617567137310
999,0,1617567137311
